time,open,high,low,close,log_return,sigma,optimal_width
1970-01-01 00:00:01.757106000,4338.81,4339.2,4287.48,4297.07,,,
1970-01-01 00:00:01.757109600,4297.07,4319.85,4295.35,4313.0,0.00370032257034835,,
1970-01-01 00:00:01.757113200,4312.99,4319.46,4304.27,4307.65,-0.0012412058688956388,,
1970-01-01 00:00:01.757116800,4307.65,4328.69,4302.55,4323.54,0.003681999342357601,,
1970-01-01 00:00:01.757120400,4322.9,4325.44,4312.58,4318.66,-0.0011293421857093077,,
1970-01-01 00:00:01.757124000,4318.51,4323.68,4304.65,4323.03,0.0010113763332171544,,
1970-01-01 00:00:01.757127600,4322.84,4325.07,4315.84,4320.69,-0.0005414335626707874,,
1970-01-01 00:00:01.757131200,4320.68,4320.68,4302.97,4309.95,-0.0024888086037141654,,
1970-01-01 00:00:01.757134800,4309.82,4312.83,4290.41,4294.82,-0.0035166577590275173,,
1970-01-01 00:00:01.757138400,4294.95,4307.36,4292.8,4302.98,0.0018981605643418383,,
1970-01-01 00:00:01.757142000,4302.98,4314.94,4299.84,4312.55,0.002221570567559291,,
1970-01-01 00:00:01.757145600,4312.54,4315.58,4305.12,4311.13,-0.0003293257664556201,,
1970-01-01 00:00:01.757149200,4310.4,4310.89,4291.08,4293.14,-0.004181650788439962,,
1970-01-01 00:00:01.757152800,4293.1,4305.31,4286.3,4301.31,0.0019012275272960483,,
1970-01-01 00:00:01.757156400,4301.31,4301.9,4290.71,4300.16,-0.0002673961559716418,,
1970-01-01 00:00:01.757160000,4300.15,4309.89,4292.4,4299.67,-0.0001139557411088612,,
1970-01-01 00:00:01.757163600,4299.66,4302.71,4287.19,4294.29,-0.0012520422954753927,,
1970-01-01 00:00:01.757167200,4294.28,4301.92,4291.9,4296.48,0.0005098495355922121,,
1970-01-01 00:00:01.757170800,4296.32,4297.39,4262.53,4270.4,-0.006088583140478857,,
1970-01-01 00:00:01.757174400,4270.41,4305.61,4237.13,4289.79,0.00453028102471027,,
1970-01-01 00:00:01.757178000,4289.46,4292.67,4266.83,4273.28,-0.0038560984455206664,,
1970-01-01 00:00:01.757181600,4273.48,4288.0,4269.41,4279.21,0.001386730870259775,,
1970-01-01 00:00:01.757185200,4279.35,4281.92,4251.13,4255.7,-0.0055091522844798934,,
1970-01-01 00:00:01.757188800,4255.96,4281.84,4253.72,4280.09,0.005714776576910551,,
1970-01-01 00:00:01.757192400,4280.09,4287.01,4269.44,4284.0,0.0009131151754998632,,
1970-01-01 00:00:01.757196000,4283.99,4288.32,4270.25,4278.81,-0.0012122190345336666,,
1970-01-01 00:00:01.757199600,4278.81,4284.78,4268.65,4274.15,-0.0010896813409883384,,
1970-01-01 00:00:01.757203200,4274.24,4289.43,4271.58,4284.73,0.0024722873527673332,,
1970-01-01 00:00:01.757206800,4284.77,4304.24,4283.55,4295.53,0.002517407561916932,,
1970-01-01 00:00:01.757210400,4295.53,4304.37,4288.42,4299.88,0.0010121682087011266,,
1970-01-01 00:00:01.757214000,4299.78,4304.72,4292.82,4297.41,-0.0005745996861706516,,
1970-01-01 00:00:01.757217600,4297.41,4303.44,4292.5,4301.79,0.001018699501995238,,
1970-01-01 00:00:01.757221200,4301.78,4304.0,4292.34,4295.37,-0.001493516741195258,,
1970-01-01 00:00:01.757224800,4295.22,4296.0,4283.26,4284.43,-0.0025501773768470057,,
1970-01-01 00:00:01.757228400,4284.16,4307.35,4278.38,4295.13,0.0024943017002129818,,
1970-01-01 00:00:01.757232000,4295.06,4315.22,4294.82,4301.12,0.0013936311692854377,,
1970-01-01 00:00:01.757235600,4301.12,4311.57,4291.62,4300.02,-0.00025578004915543547,,
1970-01-01 00:00:01.757239200,4300.01,4306.24,4296.77,4305.04,0.0011667555065238843,,
1970-01-01 00:00:01.757242800,4305.04,4310.72,4301.53,4310.71,0.001316194369275787,,
1970-01-01 00:00:01.757246400,4310.65,4310.76,4294.11,4301.2,-0.0022085701930564857,,
1970-01-01 00:00:01.757250000,4301.19,4309.12,4289.36,4305.24,0.0009388319204549013,,
1970-01-01 00:00:01.757253600,4304.65,4310.92,4297.04,4299.76,-0.0012736782663172958,,
1970-01-01 00:00:01.757257200,4299.24,4305.27,4295.4,4299.12,-0.0001488565955524564,,
1970-01-01 00:00:01.757260800,4299.12,4301.83,4283.3,4283.62,-0.0036119040891107847,,
1970-01-01 00:00:01.757264400,4283.75,4287.97,4271.96,4275.32,-0.0019394931152214565,,
1970-01-01 00:00:01.757268000,4275.43,4284.17,4270.13,4281.27,0.0013907411618464182,,
1970-01-01 00:00:01.757271600,4281.26,4297.04,4276.9,4293.66,0.0028898215198203616,,
1970-01-01 00:00:01.757275200,4293.3,4300.23,4280.43,4300.02,0.0014801577813369467,,
1970-01-01 00:00:01.757278800,4300.18,4300.62,4286.18,4288.25,-0.0027409495436935883,,
1970-01-01 00:00:01.757282400,4287.73,4310.98,4286.57,4309.7,0.00498957181683362,,
1970-01-01 00:00:01.757286000,4309.68,4336.44,4297.22,4305.56,-0.0009610854039625072,,
1970-01-01 00:00:01.757289600,4305.01,4318.76,4291.84,4298.61,-0.0016154960935280591,,
1970-01-01 00:00:01.757293200,4298.4,4302.0,4281.52,4292.26,-0.0014783138742517326,,
1970-01-01 00:00:01.757296800,4292.27,4309.53,4278.78,4308.39,0.0037508836916393556,,
1970-01-01 00:00:01.757300400,4308.4,4330.6,4302.47,4311.19,0.0006496836501283634,,
1970-01-01 00:00:01.757304000,4311.41,4314.18,4294.73,4297.57,-0.003164221412597222,,
1970-01-01 00:00:01.757307600,4297.68,4303.62,4288.97,4297.02,-0.0001279874899791874,,
1970-01-01 00:00:01.757311200,4297.02,4303.23,4288.89,4291.93,-0.0011852439694888769,,
1970-01-01 00:00:01.757314800,4291.9,4311.67,4287.06,4292.0,1.6309545860981195e-05,,
1970-01-01 00:00:01.757318400,4292.0,4304.5,4287.73,4301.25,0.0021528533611010927,,
